Дата,Хозяева(Х),Гости(Г),ГолыХ,ГолыГ,Результат,УдарыХ,УдарыГ,Удары по воротам Х,Удары по воротам Г,ФолыХ,ФолыГ,УгловыеХ,УгловыеГ,ЖКХ,ЖКГ,ККХ,ККГ,Победитель,Проигравший
Сезон 14/15,Ath Bilbao,Ath Madrid,1,4,A,4,5,2,4,12,14,3,1,3,4,0,0,Ath Madrid,Ath Bilbao
Сезон 14/15,Granada,Getafe,1,1,D,13,12,3,4,19,8,3,5,4,2,0,0,Ничья,Ничья
Сезон 14/15,Ath Madrid,Levante,3,1,H,13,10,5,4,6,10,7,6,2,3,0,0,Ath Madrid,Levante
Сезон 14/15,Sevilla,Celta,1,0,H,10,16,4,2,28,17,1,8,4,5,0,1,Sevilla,Celta
Сезон 14/15,Espanol,Eibar,1,2,A,15,12,6,6,9,15,6,3,1,1,0,0,Eibar,Espanol
Сезон 14/15,Sociedad,Barcelona,1,0,H,6,17,1,4,21,14,6,8,5,4,0,0,Sociedad,Barcelona
Сезон 14/15,Valencia,Real Madrid,2,1,H,11,19,3,8,24,17,3,11,6,3,0,0,Valencia,Real Madrid
Сезон 14/15,Celta,Valencia,1,1,D,14,4,4,2,20,19,11,2,3,3,0,0,Ничья,Ничья
Сезон 14/15,Eibar,Getafe,2,1,H,12,7,5,3,19,12,2,3,2,1,0,0,Eibar,Getafe
Сезон 14/15,Real Madrid,Espanol,3,0,H,18,11,5,4,11,14,7,2,1,4,1,0,Real Madrid,Espanol
Сезон 14/15,Barcelona,Ath Madrid,3,1,H,17,5,7,3,16,18,1,3,3,6,0,0,Barcelona,Ath Madrid
Сезон 14/15,Granada,Sociedad,1,1,D,20,10,3,5,9,15,11,4,2,2,0,0,Ничья,Ничья
Сезон 14/15,Espanol,Celta,1,0,H,15,3,3,2,9,23,9,1,3,3,0,0,Espanol,Celta
Сезон 14/15,Villarreal,Ath Bilbao,2,0,H,19,11,6,5,15,10,9,6,2,2,0,0,Villarreal,Ath Bilbao
Сезон 14/15,Ath Madrid,Granada,2,0,H,12,5,3,1,17,16,3,6,3,3,0,0,Ath Madrid,Granada
Сезон 14/15,Getafe,Real Madrid,0,3,A,6,24,0,9,19,10,7,8,2,2,0,0,Real Madrid,Getafe
Сезон 14/15,Sociedad,Eibar,1,0,H,19,9,4,4,6,17,9,5,2,2,0,0,Sociedad,Eibar
Сезон 14/15,Villarreal,Levante,1,0,H,15,11,4,1,12,8,6,3,0,3,0,0,Villarreal,Levante
Сезон 14/15,Valencia,Sevilla,3,1,H,13,10,8,6,23,15,3,7,6,5,0,0,Valencia,Sevilla
Сезон 14/15,Getafe,Celta,2,1,H,13,7,6,2,9,17,6,2,2,5,0,0,Getafe,Celta
Сезон 14/15,Eibar,Ath Madrid,1,3,A,11,8,3,5,14,16,6,8,3,3,0,0,Ath Madrid,Eibar
Сезон 14/15,Real Madrid,Sociedad,4,1,H,26,8,11,2,8,11,10,3,3,1,0,0,Real Madrid,Sociedad
Сезон 14/15,Barcelona,Villarreal,3,2,H,19,9,7,3,10,20,8,2,1,2,0,0,Barcelona,Villarreal
Сезон 14/15,Levante,Ath Bilbao,0,2,A,10,14,4,5,17,12,5,4,2,5,0,0,Ath Bilbao,Levante
Сезон 14/15,Sevilla,Espanol,3,2,H,22,5,7,2,20,11,7,2,8,3,0,1,Sevilla,Espanol
Сезон 14/15,Real Madrid,Sevilla,2,1,H,14,15,4,3,9,21,4,6,3,6,0,0,Real Madrid,Sevilla
Сезон 14/15,Ath Madrid,Real Madrid,4,0,H,17,4,8,1,17,18,2,3,5,2,0,0,Ath Madrid,Real Madrid
Сезон 14/15,Sociedad,Celta,1,1,D,7,12,3,3,17,22,2,6,5,4,0,0,Ничья,Ничья
Сезон 14/15,Villarreal,Granada,2,0,H,9,11,6,3,12,18,5,8,2,1,0,0,Villarreal,Granada
Сезон 14/15,Ath Bilbao,Barcelona,2,5,A,15,19,6,11,15,10,4,4,3,1,1,0,Barcelona,Ath Bilbao
Сезон 14/15,Espanol,Valencia,1,2,A,9,13,3,5,22,16,7,2,5,4,0,0,Valencia,Espanol
Сезон 14/15,Getafe,Sevilla,2,1,H,18,9,8,2,6,13,9,5,1,2,0,0,Getafe,Sevilla
Сезон 14/15,Granada,Ath Bilbao,0,0,D,11,10,4,0,16,9,4,4,4,4,1,0,Ничья,Ничья
Сезон 14/15,Barcelona,Levante,5,0,H,18,5,10,1,6,13,3,4,1,2,0,0,Barcelona,Levante
Сезон 14/15,Celta,Ath Madrid,2,0,H,14,10,3,5,4,12,9,2,0,3,0,0,Celta,Ath Madrid
