Дата,Хозяева(Х),Гости(Г),ГолыХ,ГолыГ,Результат,УдарыХ,УдарыГ,Удары по воротам Х,Удары по воротам Г,ФолыХ,ФолыГ,УгловыеХ,УгловыеГ,ЖКХ,ЖКГ,ККХ,ККГ,Победитель,Проигравший
Сезон 09/10,Almeria,Valencia,0,3,A,9,18,2,7,24,18,4,6,3,4,1,0
Сезон 09/10,Barcelona,Zaragoza,6,1,H,17,7,13,5,9,14,6,1,0,2,0,0
Сезон 09/10,Getafe,Ath Bilbao,2,0,H,21,9,10,4,17,15,13,2,2,2,0,2
Сезон 09/10,Santander,Osasuna,1,1,D,12,5,4,2,21,20,6,5,1,5,0,0
Сезон 09/10,Tenerife,Xerez,1,0,H,22,7,4,1,12,11,10,3,1,1,0,0
Сезон 09/10,Valladolid,La Coruna,4,0,H,19,11,8,3,14,10,4,5,3,1,0,0
Сезон 09/10,Villarreal,Malaga,2,1,H,17,9,6,2,14,10,3,6,3,3,0,0
Сезон 09/10,Ath Bilbao,Ath Madrid,1,0,H,17,16,6,6,13,16,5,5,1,2,0,0
Сезон 09/10,Osasuna,Barcelona,1,1,D,9,16,3,7,15,10,4,7,1,3,0,0
Сезон 09/10,Real Madrid,Getafe,2,0,H,23,17,8,7,9,11,2,5,2,1,1,0
Сезон 09/10,Xerez,Sevilla,0,2,A,8,16,2,7,23,18,5,9,4,3,0,0
Сезон 09/10,Espanol,Valladolid,1,1,D,10,15,4,1,18,15,9,1,4,4,0,0
Сезон 09/10,La Coruna,Sp Gijon,1,1,D,14,13,4,5,14,10,10,3,2,3,0,0
Сезон 09/10,Malaga,Valencia,0,1,A,16,20,5,6,12,18,5,9,3,2,0,0
Сезон 09/10,Mallorca,Santander,1,0,H,17,10,6,3,17,19,4,1,1,1,0,0
Сезон 09/10,Villarreal,Tenerife,5,0,H,11,13,5,2,19,19,4,4,1,0,0,0
Сезон 09/10,Zaragoza,Almeria,2,1,H,21,12,6,4,26,29,8,1,5,5,0,0
Сезон 09/10,Ath Madrid,Real Madrid,2,3,A,18,15,8,6,16,18,7,4,3,4,0,1
Сезон 09/10,Barcelona,Mallorca,4,2,H,18,10,10,5,18,22,2,4,1,2,0,0
Сезон 09/10,Getafe,La Coruna,0,2,A,22,8,3,3,18,12,14,3,4,1,0,2
Сезон 09/10,Tenerife,Malaga,2,2,D,10,17,4,7,21,13,4,4,4,5,0,0
Сезон 09/10,Almeria,Osasuna,2,0,H,10,10,3,1,18,17,11,4,2,2,0,0
Сезон 09/10,Santander,Ath Bilbao,0,2,A,11,10,5,5,23,18,7,6,4,2,0,0
Сезон 09/10,Sevilla,Villarreal,3,2,H,15,5,6,3,17,16,11,6,2,2,0,0
Сезон 09/10,Sp Gijon,Espanol,1,0,H,14,11,3,2,15,17,5,5,3,3,0,0
Сезон 09/10,Valencia,Zaragoza,3,1,H,10,13,7,4,17,17,6,6,2,5,0,0
Сезон 09/10,Valladolid,Xerez,0,0,D,13,4,3,2,8,16,12,3,0,3,0,1
Сезон 09/10,Ath Bilbao,Barcelona,1,1,D,8,13,1,3,17,15,5,7,1,1,0,0
Сезон 09/10,La Coruna,Ath Madrid,2,1,H,22,14,11,5,13,25,9,3,3,3,0,1
Сезон 09/10,Real Madrid,Santander,1,0,H,20,8,9,0,11,20,7,0,2,3,0,0
Сезон 09/10,Tenerife,Sevilla,1,2,A,11,11,1,3,9,15,6,4,4,3,0,0
Сезон 09/10,Espanol,Getafe,0,2,A,14,11,3,4,13,15,7,3,2,4,0,0
Сезон 09/10,Malaga,Zaragoza,1,1,D,15,7,4,1,22,22,6,4,5,3,1,1
Сезон 09/10,Mallorca,Almeria,3,1,H,11,20,5,10,13,16,9,10,4,3,0,0
Сезон 09/10,Osasuna,Valencia,1,3,A,8,15,2,3,18,19,4,5,3,2,2,0
Сезон 09/10,Villarreal,Valladolid,3,1,H,13,13,6,5,8,20,7,6,1,2,0,0
Сезон 09/10,Xerez,Sp Gijon,0,0,D,10,5,3,2,10,11,12,1,2,2,0,0
Сезон 09/10,Sevilla,Malaga,2,2,D,13,9,6,4,20,31,5,4,4,4,0,1
Сезон 09/10,Sp Gijon,Villarreal,1,0,H,12,6,5,2,17,13,8,0,1,4,0,1
Сезон 09/10,Valencia,Mallorca,1,1,D,17,9,6,2,11,15,11,2,4,4,0,0
Сезон 09/10,Almeria,Ath Bilbao,1,4,A,13,17,5,7,28,13,6,3,3,4,0,0
Сезон 09/10,Ath Madrid,Espanol,4,0,H,17,5,6,1,20,17,8,4,2,2,0,1
Сезон 09/10,Barcelona,Real Madrid,1,0,H,9,16,4,2,17,25,6,6,0,4,1,1
Сезон 09/10,Getafe,Xerez,5,1,H,16,7,6,2,8,17,7,3,0,3,0,1
Сезон 09/10,Santander,La Coruna,0,1,A,13,11,3,6,18,12,5,3,3,3,0,0
Сезон 09/10,Valladolid,Tenerife,3,3,D,16,13,8,5,14,16,8,8,2,2,0,1
Сезон 09/10,Zaragoza,Osasuna,0,1,A,21,9,2,4,21,18,6,7,6,2,0,0
Сезон 09/10,Xerez,Barcelona,0,2,A,7,14,4,3,13,16,3,9,1,0,0,0
Сезон 09/10,La Coruna,Barcelona,1,3,A,4,19,1,9,9,13,1,9,1,2,0,0
Сезон 09/10,Real Madrid,Almeria,4,2,H,37,9,14,4,15,16,8,3,0,4,1,0
Сезон 09/10,Sevilla,Valladolid,1,1,D,17,9,4,2,16,22,4,4,4,4,0,1
Сезон 09/10,Xerez,Ath Madrid,0,2,A,11,9,4,6,17,18,8,7,1,1,1,1
Сезон 09/10,Ath Bilbao,Valencia,1,2,A,9,8,4,3,18,18,2,5,2,4,1,0
Сезон 09/10,Espanol,Santander,0,4,A,10,15,1,5,19,21,4,7,2,4,0,0
Сезон 09/10,Malaga,Osasuna,1,1,D,16,7,2,3,23,18,6,5,2,2,0,0
Сезон 09/10,Mallorca,Zaragoza,4,1,H,14,9,7,5,16,14,4,7,3,3,0,0
Сезон 09/10,Tenerife,Sp Gijon,2,1,H,13,4,6,1,9,10,6,3,1,3,0,0
Сезон 09/10,Villarreal,Getafe,3,2,H,11,5,6,3,17,19,7,0,3,4,2,0
Сезон 09/10,Barcelona,Espanol,1,0,H,15,7,3,2,15,20,10,2,3,3,0,0
Сезон 09/10,Valencia,Real Madrid,2,3,A,12,14,5,6,19,15,7,2,4,2,0,0
Сезон 09/10,Zaragoza,Ath Bilbao,1,2,A,15,9,2,4,21,18,6,2,3,6,0,0
Сезон 09/10,Almeria,La Coruna,1,1,D,15,17,4,4,17,12,8,6,1,0,0,0
Сезон 09/10,Ath Madrid,Villarreal,1,2,A,8,22,1,11,22,4,5,3,2,0,0,0
Сезон 09/10,Getafe,Tenerife,2,1,H,13,11,5,1,18,13,10,1,1,1,0,0
Сезон 09/10,Osasuna,Mallorca,0,1,A,8,10,2,2,18,22,5,6,2,3,0,0
Сезон 09/10,Santander,Xerez,3,2,H,14,14,7,4,20,11,6,6,3,3,0,0
Сезон 09/10,Sp Gijon,Sevilla,0,1,A,12,8,2,2,25,17,4,7,5,3,0,0
Сезон 09/10,Valladolid,Malaga,1,1,D,22,10,4,1,17,21,7,4,3,3,0,0
Сезон 09/10,Ath Bilbao,Osasuna,2,0,H,11,9,3,4,22,12,2,1,3,4,0,0
Сезон 09/10,Real Madrid,Zaragoza,6,0,H,20,6,9,2,18,18,3,4,2,3,0,0
Сезон 09/10,Sevilla,Getafe,1,2,A,26,7,5,5,14,16,8,1,1,5,0,0
Сезон 09/10,Espanol,Almeria,2,0,H,18,9,4,3,27,18,11,8,3,3,0,0
Сезон 09/10,La Coruna,Valencia,0,0,D,14,15,3,3,9,16,2,4,1,3,0,0
Сезон 09/10,Malaga,Mallorca,2,1,H,8,14,4,5,16,14,3,5,2,4,0,0
Сезон 09/10,Tenerife,Ath Madrid,1,1,D,22,9,10,1,12,16,2,4,1,5,0,0
Сезон 09/10,Valladolid,Sp Gijon,2,1,H,17,8,4,3,12,19,2,5,3,2,0,0
Сезон 09/10,Villarreal,Santander,2,0,H,20,4,8,0,14,23,10,5,1,4,0,0
Сезон 09/10,Ath Madrid,Sevilla,2,1,H,12,7,3,1,21,16,5,6,3,3,0,1
Сезон 09/10,Barcelona,Villarreal,1,1,D,12,8,3,2,22,15,6,7,2,4,0,0
Сезон 09/10,Valencia,Espanol,1,0,H,17,11,8,3,18,18,6,0,3,4,0,0
Сезон 09/10,Almeria,Xerez,1,0,H,12,10,4,2,18,13,7,1,3,5,0,0
Сезон 09/10,Getafe,Valladolid,1,0,H,18,10,7,3,16,21,8,3,1,3,0,0
Сезон 09/10,Mallorca,Ath Bilbao,2,0,H,17,4,6,3,13,24,4,4,5,2,0,0
Сезон 09/10,Osasuna,Real Madrid,0,0,D,6,19,2,4,11,14,6,8,3,3,0,0
Сезон 09/10,Santander,Tenerife,2,0,H,8,9,2,3,23,15,3,7,1,2,0,0
Сезон 09/10,Sp Gijon,Malaga,2,2,D,18,7,7,3,11,16,7,0,3,3,0,0
Сезон 09/10,Zaragoza,La Coruna,0,0,D,17,9,4,3,21,19,3,4,4,2,0,0
Сезон 09/10,Sevilla,Santander,1,2,A,20,8,7,5,18,23,14,0,1,2,0,0
Сезон 09/10,Valladolid,Ath Madrid,0,4,A,16,8,6,6,19,20,5,2,5,1,0,0
Сезон 09/10,Villarreal,Almeria,1,1,D,9,8,3,3,18,22,4,3,2,2,1,0
Сезон 09/10,Espanol,Zaragoza,2,1,H,10,10,6,3,25,24,3,5,4,1,0,0
Сезон 09/10,La Coruna,Osasuna,1,0,H,8,10,1,1,19,16,2,3,3,0,0,1
Сезон 09/10,Malaga,Ath Bilbao,1,1,D,6,13,2,6,19,16,3,6,3,3,0,0
Сезон 09/10,Real Madrid,Mallorca,2,0,H,16,6,7,1,8,14,6,4,0,3,0,0
Сезон 09/10,Sp Gijon,Getafe,1,0,H,18,14,8,4,22,10,4,5,2,4,0,0
Сезон 09/10,Tenerife,Barcelona,0,5,A,13,15,3,5,20,11,3,1,3,2,0,0
Сезон 09/10,Xerez,Valencia,1,3,A,10,13,4,6,12,13,7,4,3,3,0,0
Сезон 09/10,Ath Bilbao,Real Madrid,1,0,H,11,31,3,10,20,15,4,9,3,4,1,0
Сезон 09/10,Barcelona,Sevilla,4,0,H,27,4,12,0,11,13,11,2,2,4,0,0
Сезон 09/10,Osasuna,Espanol,2,0,H,10,16,5,2,18,17,11,3,2,1,1,1
Сезон 09/10,Almeria,Tenerife,1,1,D,16,12,4,5,16,27,12,4,0,7,1,0
Сезон 09/10,Ath Madrid,Sp Gijon,3,2,H,15,17,7,8,11,18,2,5,4,2,0,0
Сезон 09/10,Malaga,Getafe,1,0,H,19,13,4,4,16,19,8,3,5,6,0,1
Сезон 09/10,Mallorca,La Coruna,2,0,H,19,8,8,1,15,15,7,4,2,4,0,0
Сезон 09/10,Santander,Valladolid,1,1,D,15,5,4,2,15,21,6,3,1,2,0,0
Сезон 09/10,Valencia,Villarreal,4,1,H,20,5,11,2,18,14,7,2,5,0,0,1
Сезон 09/10,Zaragoza,Xerez,0,0,D,21,5,5,1,19,15,4,2,1,3,0,1
Сезон 09/10,La Coruna,Ath Bilbao,3,1,H,12,16,4,4,9,17,2,6,2,3,0,0
Сезон 09/10,Sevilla,Almeria,1,0,H,10,9,3,3,9,11,10,4,2,3,0,0
Сезон 09/10,Valladolid,Barcelona,0,3,A,11,14,5,8,13,17,5,5,2,2,0,0
Сезон 09/10,Espanol,Mallorca,1,1,D,15,11,2,4,18,19,5,3,3,4,0,0
Сезон 09/10,Getafe,Ath Madrid,1,0,H,17,11,5,3,16,13,5,2,1,3,0,1
Сезон 09/10,Real Madrid,Malaga,2,0,H,16,6,6,1,16,24,6,6,0,4,1,0
Сезон 09/10,Sp Gijon,Santander,0,1,A,14,16,5,1,8,15,10,4,0,0,0,1
Сезон 09/10,Tenerife,Valencia,0,0,D,15,7,7,3,16,13,12,10,0,2,0,0
Сезон 09/10,Villarreal,Zaragoza,4,2,H,9,15,6,5,22,19,4,3,1,4,0,0
Сезон 09/10,Xerez,Osasuna,1,2,A,7,15,2,7,14,15,2,3,1,1,0,0
Сезон 09/10,Espanol,Ath Bilbao,1,0,H,12,8,4,2,16,10,10,6,5,2,0,0
Сезон 09/10,La Coruna,Real Madrid,1,3,A,11,17,2,8,13,7,6,4,3,0,0,0
Сезон 09/10,Sp Gijon,Barcelona,0,1,A,5,22,2,5,21,9,2,10,6,3,0,0
Сезон 09/10,Ath Madrid,Malaga,0,2,A,11,9,4,4,17,24,2,5,3,3,0,0
Сезон 09/10,Getafe,Santander,0,0,D,19,7,2,3,14,16,16,0,1,0,0,1
Сезон 09/10,Sevilla,Valencia,2,1,H,15,14,4,8,14,20,6,4,4,4,0,0
Сезон 09/10,Tenerife,Zaragoza,1,3,A,17,9,6,5,14,24,7,3,5,4,0,0
Сезон 09/10,Valladolid,Almeria,1,1,D,12,12,2,4,18,12,6,4,4,2,1,0
Сезон 09/10,Villarreal,Osasuna,0,2,A,12,10,3,4,12,13,4,5,3,1,0,0
Сезон 09/10,Xerez,Mallorca,2,1,H,10,14,5,7,14,13,5,2,2,2,0,0
Сезон 09/10,Barcelona,Getafe,2,1,H,18,13,8,6,14,14,5,2,4,3,2,0
Сезон 09/10,Real Madrid,Espanol,3,0,H,26,13,8,3,15,22,7,4,2,3,0,0
Сезон 09/10,Valencia,Valladolid,2,0,H,25,12,10,4,19,10,10,8,1,2,0,0
Сезон 09/10,Almeria,Sp Gijon,3,1,H,13,14,3,7,10,21,4,6,0,7,1,2
Сезон 09/10,Ath Bilbao,Xerez,3,2,H,17,15,5,5,12,17,11,4,2,5,0,0
